Id,SalePrice
1461,125523.33
1462,158189.11
1463,185934.39
1464,188297.61
1465,196394.9
1466,175156.48
1467,167884.89
1468,172106.66
1469,177418.42
1470,122801.734
1471,203236.97
1472,96619.35
1473,106344.87
1474,157041.12
1475,135159.11
1476,412228.47
1477,256882.53
1478,317784.53
1479,237219.11
1480,516574.0
1481,319891.72
1482,205358.7
1483,177053.0
1484,167880.31
1485,166627.5
1486,200900.98
1487,334894.88
1488,229733.05
1489,217554.92
1490,197884.55
1491,184512.39
1492,86004.83
1493,176241.27
1494,279767.16
1495,276318.5
1496,244460.47
1497,176337.16
1498,159212.67
1499,153346.6
1500,148445.9
1501,178328.31
1502,151691.44
1503,313010.03
1504,239692.34
1505,227427.28
1506,190012.48
1507,227173.06
1508,202896.34
1509,167368.75
1510,147590.84
1511,145338.48
1512,176915.36
1513,147825.8
1514,163218.98
1515,186071.05
1516,156366.6
1517,158855.0
1518,123901.81
1519,222511.2
1520,135907.5
1521,139871.02
1522,168295.17
1523,110111.31
1524,120168.17
1525,126213.05
1526,122114.39
1527,97926.0
1528,133455.02
1529,149459.9
1530,177580.88
1531,125144.61
1532,95457.14
1533,144032.7
1534,114278.04
1535,158501.95
1536,116971.13
1537,68338.91
1538,184111.64
1539,202836.58
1540,97004.05
1541,150409.95
1542,149063.08
1543,229668.8
1544,75645.66
1545,112065.445
1546,127710.984
1547,143786.34
1548,132709.84
1549,117668.53
1550,147247.5
1551,107378.57
1552,138625.89
1553,144818.89
1554,118186.73
1555,181708.92
1556,95859.07
1557,115420.414
1558,91419.375
1559,92153.484
1560,138589.73
1561,135244.98
1562,125104.8
1563,121275.6
1564,149866.98
1565,154257.03
1566,224180.39
1567,68158.9
1568,233932.94
1569,152793.52
1570,135276.77
1571,134509.53
1572,146873.19
1573,247349.23
1574,95134.76
1575,206049.9
1576,236906.45
1577,204404.66
1578,147118.56
1579,141822.33
1580,192092.92
1581,148708.75
1582,128449.945
1583,328660.1
1584,234732.11
1585,140086.39
1586,67603.47
1587,98622.89
1588,158642.84
1589,100529.95
1590,135798.64
1591,105498.79
1592,127011.234
1593,120410.516
1594,128579.4
1595,105073.98
1596,243394.73
1597,170962.47
1598,198294.47
1599,206545.69
1600,196348.69
1601,73794.5
1602,112384.93
1603,91504.766
1604,272859.6
1605,236781.06
1606,169966.14
1607,156886.81
1608,209425.06
1609,201749.28
1610,166116.03
1611,137294.44
1612,159077.5
1613,150573.5
1614,125105.17
1615,86708.125
1616,71467.375
1617,90785.25
1618,126226.7
1619,135036.55
1620,143821.19
1621,136984.56
1622,147658.64
1623,298037.78
1624,223032.64
1625,123373.67
1626,169091.25
1627,184095.94
1628,259375.38
1629,180223.16
1630,376766.16
1631,234036.58
1632,264165.4
1633,166503.2
1634,182136.77
1635,181773.89
1636,158511.02
1637,173104.2
1638,210706.6
1639,177890.42
1640,246223.3
1641,176236.94
1642,224286.4
1643,231119.64
1644,235238.61
1645,191220.48
1646,155898.38
1647,152991.78
1648,126892.53
1649,141582.97
1650,114248.86
1651,121538.88
1652,96246.25
1653,98629.266
1654,154935.69
1655,148600.16
1656,148898.8
1657,154859.42
1658,148527.19
1659,140720.45
1660,150417.23
1661,465357.06
1662,376363.94
1663,374260.34
1664,458711.2
1665,323819.12
1666,302437.28
1667,344569.0
1668,339425.47
1669,294441.2
1670,342567.88
1671,261548.3
1672,482831.38
1673,290022.66
1674,250726.66
1675,186035.39
1676,195303.66
1677,221399.1
1678,460209.56
1679,400831.16
1680,339074.28
1681,261823.86
1682,282650.88
1683,175243.52
1684,168099.0
1685,171056.14
1686,163842.78
1687,161269.28
1688,183944.86
1689,185197.28
1690,187071.11
1691,175646.84
1692,264929.28
1693,163883.94
1694,185158.55
1695,168479.19
1696,273088.38
1697,176837.95
1698,361257.1
1699,332884.12
1700,255774.5
1701,252158.75
1702,254409.61
1703,249051.66
1704,291152.66
1705,241603.81
1706,475639.8
1707,229261.67
1708,221681.77
1709,266844.1
1710,234648.02
1711,263670.25
1712,238245.27
1713,258015.66
1714,220997.86
1715,207008.36
1716,196063.58
1717,181416.17
1718,128779.695
1719,202967.84
1720,259107.69
1721,173245.97
1722,124321.88
1723,154956.33
1724,211066.72
1725,232256.66
1726,192297.81
1727,167798.62
1728,164438.12
1729,162202.34
1730,163852.36
1731,120462.9
1732,130525.3
1733,119127.375
1734,121487.984
1735,134618.72
1736,114670.805
1737,362085.5
1738,213363.19
1739,241796.25
1740,207667.31
1741,197452.8
1742,174046.33
1743,175644.78
1744,290200.97
1745,257406.31
1746,262539.3
1747,218674.03
1748,211041.5
1749,152633.4
1750,136774.25
1751,231700.22
1752,119173.08
1753,129716.59
1754,202402.06
1755,171770.88
1756,130009.57
1757,123357.84
1758,144493.11
1759,167038.47
1760,158028.69
1761,142394.0
1762,162958.36
1763,166479.83
1764,112573.88
1765,165375.28
1766,163652.36
1767,202125.67
1768,141182.02
1769,157665.6
1770,139572.16
1771,134394.33
1772,133105.7
1773,140994.16
1774,118940.65
1775,140065.2
1776,128092.13
1777,118529.695
1778,137201.7
1779,116253.01
1780,175965.66
1781,129279.72
1782,98274.95
1783,131038.02
1784,103316.28
1785,113834.69
1786,144487.14
1787,186002.48
1788,55045.164
1789,97122.82
1790,93143.06
1791,185218.0
1792,155910.45
1793,134541.97
1794,149492.48
1795,137561.31
1796,133687.84
1797,115385.664
1798,126957.25
1799,120171.48
1800,133123.86
1801,124737.47
1802,141259.95
1803,143897.31
1804,142762.22
1805,135286.5
1806,120961.59
1807,119287.24
1808,116394.41
1809,118788.13
1810,152472.03
1811,106272.875
1812,110409.625
1813,121168.16
1814,96840.38
1815,55355.742
1816,96528.44
1817,116199.03
1818,136407.5
1819,115392.016
1820,53525.39
1821,119235.04
1822,157785.38
1823,40502.17
1824,149879.08
1825,139278.53
1826,104601.13
1827,103737.55
1828,141088.89
1829,109370.375
